Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Santokhgarh,Santokhgarh,"Santokgarh,Santokhgarh",31.35205,76.31775,P,PPL,IN,,11,29,,,8877,,348,Asia/Kolkata,13-10-2014,India
Sānchor,Sanchor,"Sanchor,Sanchore,Sānchor",24.75361,71.7728,P,PPL,IN,,24,116,,,29022,,62,Asia/Kolkata,03-08-2016,India
Sādāt,Sadat,"Sadat,Sādāt",25.67117,83.30269,P,PPL,IN,,36,195,,,11211,,80,Asia/Kolkata,07-08-2015,India
Rewāri,Rewari,"Rewari,Rewāri",28.199,76.6183,P,PPL,IN,,10,85,,,112079,,259,Asia/Kolkata,07-01-2015,India
Reoti,Reoti,Reoti,25.85091,84.3778,P,PPL,IN,,36,193,,,23819,,64,Asia/Kolkata,11-02-2016,India
Ratia,Ratia,"Ratia,Ратиа",29.69029,75.57688,P,PPL,IN,,10,78,,,26524,,223,Asia/Kolkata,07-06-2015,India
Rāni,Rani,"Rani,Rāni",25.35031,73.30885,P,PPL,IN,,24,118,,,13572,,281,Asia/Kolkata,14-10-2014,India
Rajpur,Rajpur,"Alirajpur,Rajpur,Rājpur",22.30393,74.35568,P,PPL,IN,,35,465,,,26443,,288,Asia/Kolkata,06-09-2015,India
Rājnagar,Rajnagar,"Rajnagar,Rājnagar",24.88929,79.91178,P,PPL,IN,,35,425,,,13390,,228,Asia/Kolkata,07-08-2015,India
Rājgarh,Rajgarh,"Rajgarh,Rājgarh",27.23731,76.62243,P,PPL,IN,,24,104,,,26953,,314,Asia/Kolkata,14-10-2014,India
Raipur,Raipur,Raipur,26.04259,74.02373,P,PPL,IN,,24,118,,,17537,,336,Asia/Kolkata,14-10-2014,India
Purushottampur,Purushottampur,"Purushottampur,Purusottampur",19.52024,84.88514,P,PPL,IN,,21,388,,,14707,,23,Asia/Kolkata,04-07-2016,India
Ponnūru,Ponnuru,,16.06547,80.55203,P,PPL,IN,,2,548,,,57170,,10,Asia/Kolkata,10-10-2014,India
Piriyāpatna,Piriyapatna,"Piriyapatna,Piriyāpatna",12.33497,76.10073,P,PPL,IN,,19,577,,,16099,,859,Asia/Kolkata,08-11-2015,India
Pennāthur,Pennathur,"Pennathur,Pennattur,Pennāthur,Pennāttūr",12.24681,79.22592,P,PPL,IN,,25,606,,,8257,,151,Asia/Kolkata,04-02-2017,India
Palladam,Palladam,Palladam,10.99175,77.28633,P,PPL,IN,,25,633,,,31935,,371,Asia/Kolkata,14-10-2014,India
Palera,Palera,Palera,25.02013,79.22818,P,PPL,IN,,35,424,,,16554,,237,Asia/Kolkata,07-08-2015,India
Padmanābhapuram,Padmanabhapuram,"Padmanabhapuram,Padmanābhapuram,patmanapapuram,பத்மனாபபுரம்",8.24462,77.32581,P,PPL,IN,,25,629,,,20212,,35,Asia/Kolkata,14-10-2014,India
North Guwāhāti,North Guwahati,"North Gauhati,North Gauhāti,North Guwahati,North Guwāhāti",26.19749,91.7202,P,PPL,IN,,3,321,,,17516,,57,Asia/Kolkata,13-10-2014,India
Neral,Neral,Neral,19.02475,73.31688,P,PPL,IN,,16,520,,,16060,,46,Asia/Kolkata,13-10-2014,India
Nānpāra,Nanpara,"Nanpara,Nānpāra",27.86459,81.50036,P,PPL,IN,,36,180,,,46280,,138,Asia/Kolkata,14-10-2014,India
Nālāgarh,Nalagarh,"Nalagarh,Nālāgarh",31.04168,76.72285,P,PPL,IN,,11,31,,,10249,,400,Asia/Kolkata,06-09-2015,India
Nāhan,Nahan,"Nahan,Nāhan",30.56029,77.29426,P,PPL,IN,,11,32,,,27544,,909,Asia/Kolkata,08-03-2015,India
Nāgod,Nagod,"Nagod,Nāgod",24.56924,80.58809,P,PPL,IN,,35,429,,,21732,,335,Asia/Kolkata,07-08-2015,India
Nadīgaon,Nadigaon,"Nadigaon,Nadīgaon",26.10784,79.02283,P,PPL,IN,,36,165,,,7597,,147,Asia/Kolkata,10-06-2020,India
Nādāpuram,Nadapuram,"Kummankod,Nadapuram,Nādāpuram",11.68465,75.65493,P,PPL,IN,,13,591,,,39512,,24,Asia/Kolkata,10-06-2020,India
Murud,Murud,"Janjira,Marad,Murad,Murud",18.32817,72.9621,P,PPL,IN,,16,520,,,12665,,14,Asia/Kolkata,13-10-2014,India
Murbād,Murbad,"Murbad,Murbād",19.25395,73.38993,P,PPL,IN,,16,517,,,17494,,79,Asia/Kolkata,13-10-2014,India
Mūdbidri,Mudbidri,"Mudabidri,Mudbidri,Mūdbidri",13.06653,74.99525,P,PPL,IN,,19,569,,,30632,,130,Asia/Kolkata,10-06-2020,India
Mohān,Mohan,"Mohan,Mohān",26.78008,80.67497,P,PPL,IN,,36,156,,,14709,,126,Asia/Kolkata,14-10-2014,India
Mehekar,Mehekar,"Mehekar,Mehkar",20.1505,76.56841,P,PPL,IN,,16,500,,,41137,,559,Asia/Kolkata,13-10-2014,India
Māyakonda,Mayakonda,"Mayakonda,Māyakonda",14.28894,76.08305,P,PPL,IN,,19,567,,,6445,,648,Asia/Kolkata,08-11-2015,India
Mansar,Mansar,Mansar,21.39602,79.2635,P,PPL,IN,,16,505,,,6901,,330,Asia/Kolkata,07-08-2015,India
Manohar Thāna,Manohar Thana,"Manohar Thana,Manohar Thāna",24.24,76.80182,P,PPL,IN,,24,129,,,10100,,337,Asia/Kolkata,14-10-2014,India
Mandya,Mandya,"Mand'ja,Mandya,man di ya,mandaya,mandya,mantiya,Мандья,مانڈیا,मंड्या,मांड्या,মান্দায়া,માંડ્યા,ମାନ୍ଦ୍ୟ,மண்டியா,మండ్య,ಮಂಡ್ಯ,曼迪亚",12.5223,76.89746,P,PPL,IN,,19,573,,,134845,,681,Asia/Kolkata,08-11-2015,India
Māndal,Mandal,,25.44126,74.56979,P,PPL,IN,,24,122,,,23478,,437,Asia/Kolkata,14-10-2014,India
Mālegaon,Malegaon,"Malegaon,Mālegaon,Малегаон",20.54966,74.53462,P,PPL,IN,,16,516,,,435362,,432,Asia/Kolkata,06-09-2015,India
Mahroni,Mahroni,"Mahrauni,Mahroni",24.58624,78.72771,P,PPL,IN,,36,167,,,8898,,374,Asia/Kolkata,07-08-2015,India
Kukshi,Kukshi,Kukshi,22.20677,74.75788,P,PPL,IN,,35,438,,,26183,,176,Asia/Kolkata,06-09-2015,India
Kotra,Kotra,Kotra,25.8077,79.30909,P,PPL,IN,,36,165,,,8534,,155,Asia/Kolkata,07-08-2015,India
Kopargaon,Kopargaon,Kopargaon,19.88239,74.47605,P,PPL,IN,,16,522,,,65116,,504,Asia/Kolkata,13-10-2014,India
